class-name,perception,LOC,C3,CBO,MPC,RFC,WMC,Readability,Avg-commit-size,number-changes,number-committors,persistance,number-fixes,avg.dev.scattering,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOC_type,LCOM5_type,WOC_type,WMCNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,isStatic_type,NOPA_type,number_private_visibility_attributes,number_protected_visibility_attributes,number_package_visibility_attributes,num_final_attributes,num_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_final_not_static_attributes,num_static_not_final_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_package_visibility_methods,number_final_methods,number_abstract_methods,number_not_abstract_not_final_methods,number_static_methods,number_final_static_methods,number_final_not_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,is_controller,is_procedural,is_test,is_util,is_external,is_controller,is_procedural,is_util,is_test,is_external
org.apache.cayenne.map.DataMap,SEVERE,1000,0.47,17,0.54,6,26,0.33,14,36,3,6,6,0.41,2,5,0,0,2,2,0,1,1,1,2,30,107,39,0.8,4,0.44,0.28,66,12,6,9,10,8,8,8,1,10,5,0,6,5,11,3,7,3,5,4,11,2,7,2,2,9,9,0,3,9,8,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cayenne.map.DbEntity,SEVERE,1085,0.6,14,0.55,5,33,0.42,10,31,7,6,6,0.43,1,6,1,1,0,1,1,1,0,0,2,60,88,16,0.95,21,1,0.89,68,8,7,11,4,2,10,0,5,7,11,12,11,9,0,8,8,10,9,3,6,10,6,11,2,12,7,3,10,10,5,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cayenne.map.MapLoader,SEVERE,897,0.37,13,0.41,9,28,0.44,7,23,7,3,3,0.41,0,10,1,1,0,1,2,1,0,0,1,44,104,20,0.41,14,0.69,0.23,43,1,9,6,12,11,8,8,10,4,4,12,4,5,0,12,4,2,0,8,10,9,12,2,7,3,2,11,0,11,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cayenne.map.ObjEntity,SEVERE,917,0.62,12,0.43,6,31,0.43,8,32,4,3,4,0.52,2,1,0,2,1,0,1,1,2,0,0,49,32,14,0.88,26,0.77,0.26,28,0,11,2,11,3,7,3,1,5,11,7,1,9,5,10,6,10,10,3,10,1,9,2,5,5,9,0,3,8,10,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cayenne.map.ObjRelationship,SEVERE,992,0.36,12,0.42,7,34,0.44,9,37,7,6,5,0.47,1,0,2,1,2,0,1,2,0,0,0,78,36,9,0.09,36,0.59,0.73,66,9,12,3,2,2,11,0,1,11,10,11,4,2,10,4,8,12,8,7,11,11,7,7,10,6,11,12,3,3,10,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cayenne.modeler.ProjectController,SEVERE,939,0.34,17,0.49,6,30,0.32,3,15,6,3,3,0.42,1,7,1,0,2,2,1,2,1,1,0,72,42,18,0.68,50,0.79,0.46,24,5,2,3,11,6,5,3,10,2,8,11,1,10,4,11,2,5,2,4,8,5,10,6,12,5,11,3,10,5,2,11,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.cayenne.modeler.ProjectTreeView,SEVERE,1085,0.36,14,0.43,5,33,0.4,15,34,7,4,6,0.49,2,7,2,2,2,2,0,1,1,2,0,85,99,10,0.84,47,0.87,0.34,71,10,1,8,11,3,0,4,4,0,9,2,0,11,2,4,4,2,0,3,2,7,11,6,8,12,6,1,1,8,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
org.apache.cayenne.query.SelectQuery,NON-SEVERE,1027,0.64,20,0.5,8,28,0.35,12,35,3,5,4,0.54,1,8,1,0,2,2,2,2,0,2,0,34,114,2,0.58,28,0.07,0.04,30,0,2,9,12,4,10,3,7,5,4,2,5,5,3,7,6,10,0,9,12,0,7,10,11,0,7,12,0,10,5,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cayenne.query.SelectQueryTest,NON-SEVERE,1057,0.6,9,0.55,8,28,0.45,5,21,7,1,6,0.43,0,10,0,2,2,1,1,0,1,1,1,116,112,10,0.14,26,0.77,0.83,64,7,9,3,12,8,4,4,7,11,9,10,6,9,11,5,2,11,12,4,4,0,6,4,10,4,10,5,11,10,6,8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cayenne.util.concurrentlinkedhashmap.ConcurrentLinkedHashMap,SEVERE,1085,0.57,11,0.53,11,26,0.41,0,7,3,1,4,0.46,0,2,2,2,2,2,1,2,1,0,1,90,31,5,0.4,54,0.41,0.7,32,3,1,9,2,2,11,2,10,11,6,4,2,2,6,12,7,12,6,8,2,5,12,3,0,3,5,7,6,0,10,11,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
org.apache.cayenne.util.EqualsBuilder,NON-SEVERE,905,0.46,20,0.53,7,34,0.34,6,18,5,4,3,0.44,2,9,2,2,0,1,0,1,0,1,0,119,74,0,0.38,53,0.08,0.14,36,2,3,6,9,10,12,11,8,3,3,3,3,1,0,10,2,9,0,10,6,4,12,11,11,9,3,6,2,10,9,5,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
org.apache.cayenne.wocompat.parser.Parser,SEVERE,906,0.44,16,0.47,5,26,0.36,8,32,6,5,3,0.48,0,2,2,2,0,1,2,2,1,2,2,47,62,36,0.21,13,0.56,0.62,83,10,7,11,4,9,1,6,5,0,5,2,4,10,8,12,11,7,7,4,9,10,12,7,8,5,5,1,4,3,8,7,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.cayenne.wocompat.parser.ParserTokenManager,SEVERE,1018,0.48,14,0.47,11,26,0.43,13,35,5,5,6,0.52,1,2,1,1,1,0,1,2,0,1,2,78,68,27,0.55,13,0.13,0.03,23,9,8,8,9,5,10,1,7,3,6,0,2,12,1,12,0,2,3,10,5,12,6,12,10,2,9,12,9,4,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.aegis.type.basic.BeanTest,NON-SEVERE,1000,0.49,12,0.45,7,29,0.33,0,4,3,1,4,0.53,1,9,2,0,1,2,2,0,0,0,1,28,105,33,0.68,19,0.35,0.64,32,11,6,1,6,11,8,3,10,10,6,5,10,12,0,6,2,1,4,10,6,9,10,1,10,4,2,1,2,12,6,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.aegis.type.basic.BeanType,NON-SEVERE,1045,0.46,21,0.46,11,32,0.38,4,21,7,1,6,0.4,1,1,2,1,1,0,0,0,0,0,1,41,96,53,0.33,1,0.14,0.68,28,8,6,3,8,3,9,1,5,12,5,1,4,8,6,9,11,2,0,0,6,2,11,0,4,1,5,12,6,12,10,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.aegis.type.XMLTypeCreator,NON-SEVERE,1038,0.32,19,0.49,7,25,0.35,2,8,5,1,3,0.54,0,3,0,0,2,0,1,1,2,2,0,104,46,19,0.29,39,0.31,0.28,28,5,11,3,9,12,7,2,0,10,9,5,6,2,8,12,0,10,4,11,4,2,6,9,10,10,10,2,2,1,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.binding.corba.runtime.CorbaObjectReader,NON-SEVERE,940,0.64,19,0.48,5,27,0.35,1,8,7,0,5,0.54,1,2,2,0,2,0,1,0,2,0,2,85,81,8,0.09,42,0.12,0.94,7,12,7,10,5,11,1,6,0,4,4,12,2,4,2,1,8,8,3,5,5,1,8,0,4,3,5,11,1,5,12,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.binding.soap.SoapBindingFactory,NON-SEVERE,953,0.43,20,0.49,6,29,0.45,0,7,4,0,6,0.43,0,4,0,2,1,2,1,0,2,1,0,77,119,24,0.66,27,0.12,0.95,64,1,1,0,12,9,6,8,11,5,8,0,2,5,5,3,7,5,7,9,8,11,1,10,4,4,1,11,5,1,2,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
org.apache.cxf.endpoint.dynamic.DynamicClientFactory,SEVERE,1092,0.4,16,0.45,11,33,0.45,5,37,6,6,5,0.42,3,2,2,2,0,1,1,2,0,0,1,88,96,29,0.7,3,0.07,0.09,74,5,4,9,11,7,12,4,9,9,3,11,12,4,1,3,2,0,10,11,0,2,9,3,5,4,12,12,9,11,10,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
org.apache.cxf.javascript.JavascriptUtils,SEVERE,1097,0.48,21,0.52,10,25,0.36,5,34,4,4,4,0.48,1,7,1,1,1,0,1,2,0,0,2,44,86,48,0.45,42,0.62,0.5,23,12,5,7,6,2,1,3,11,4,0,5,7,3,9,8,11,12,12,9,4,10,2,1,11,4,0,6,11,12,3,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
org.apache.cxf.javascript.service.ServiceJavascriptBuilder,SEVERE,1108,0.52,17,0.54,10,32,0.31,7,18,4,3,6,0.4,1,7,2,1,2,2,2,1,2,1,1,89,47,9,0.2,42,0.72,0.1,91,4,4,4,11,8,12,5,0,1,8,6,3,11,9,11,4,1,0,8,12,4,12,4,6,9,9,7,4,1,0,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.jaxb.JAXBDataBinding,NON-SEVERE,1050,0.61,19,0.55,9,32,0.35,16,38,7,6,5,0.53,0,10,2,0,0,0,0,0,0,2,0,105,111,4,0.23,20,0.69,0.35,42,0,3,10,6,4,0,7,0,10,7,7,0,10,11,6,6,0,3,12,5,5,12,0,3,2,10,12,11,6,6,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.jaxb.JAXBEncoderDecoder,NON-SEVERE,981,0.44,9,0.49,5,29,0.38,3,17,4,4,3,0.52,1,4,1,1,1,0,1,0,0,2,2,48,103,18,0.99,50,0.34,0.73,60,6,6,10,3,1,10,6,6,1,0,8,2,8,7,12,5,6,8,0,8,2,3,4,1,6,9,2,9,11,10,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.jaxb.JAXBSchemaInitializer,NON-SEVERE,1006,0.6,15,0.5,6,31,0.41,5,25,5,3,3,0.47,2,1,0,0,0,2,1,1,1,1,2,34,41,11,0.94,49,0.03,0.24,18,8,6,7,4,12,2,6,0,2,6,11,4,0,5,4,7,4,1,1,8,2,12,12,8,11,7,11,7,6,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.jaxrs.client.AbstractClient,SEVERE,1065,0.58,17,0.43,11,28,0.31,5,16,7,3,3,0.4,3,8,2,2,2,2,1,2,0,2,2,41,53,22,0.9,26,0.04,0.45,28,10,3,0,3,4,10,12,12,6,2,4,10,4,11,6,1,6,8,11,6,10,4,1,5,12,8,3,3,10,9,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.jaxrs.client.ClientProxyImpl,SEVERE,1001,0.47,8,0.46,6,25,0.39,5,33,3,4,5,0.41,0,5,1,2,1,2,1,1,2,2,2,106,61,16,0.4,34,0.43,0.54,71,2,1,2,6,2,6,2,6,0,5,4,0,4,6,11,7,6,1,5,8,2,1,6,1,3,4,1,9,5,8,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.jaxrs.client.WebClient,SEVERE,1107,0.62,15,0.53,8,32,0.44,5,25,3,3,5,0.48,2,10,0,2,1,2,0,0,0,0,1,112,50,3,0.39,55,0.8,0.45,66,11,1,0,9,8,8,9,3,6,6,9,11,2,4,0,1,7,5,6,5,6,5,1,11,8,12,10,0,10,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.jaxrs.ext.search.fiql.FiqlParser,MEDIUM,1103,0.41,10,0.55,6,27,0.41,3,25,4,2,5,0.45,0,2,1,1,2,0,0,2,2,1,0,115,35,17,0.18,21,0.48,0.78,16,3,4,9,12,1,1,1,12,11,0,5,8,9,12,4,12,6,2,8,4,2,0,12,5,7,12,12,8,8,7,7,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.jaxrs.impl.UriBuilderImpl,MEDIUM,930,0.56,8,0.43,5,30,0.33,4,21,7,2,5,0.54,3,1,1,0,1,0,1,0,0,0,0,48,78,35,0.94,39,0.88,0.9,97,1,8,8,2,12,2,8,1,8,6,0,9,12,2,2,11,2,11,5,8,11,5,12,7,11,12,9,8,8,4,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.jaxrs.impl.UriBuilderImplTest,MEDIUM,916,0.62,7,0.53,6,31,0.32,7,14,5,1,6,0.44,3,4,2,1,0,1,2,1,1,0,2,105,28,22,0.52,0,0.17,0.68,4,3,8,8,12,6,7,7,6,3,9,9,11,7,10,4,7,11,10,6,0,2,7,10,12,3,7,5,2,5,7,6,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.jaxrs.model.wadl.WadlGenerator,MEDIUM,1082,0.56,19,0.42,8,33,0.38,3,18,5,2,6,0.52,0,2,2,0,2,2,0,2,1,0,2,43,114,55,0.83,54,0.02,0.95,66,1,9,5,9,7,10,2,9,1,7,6,12,1,7,2,9,9,12,2,2,0,3,12,1,2,10,11,9,2,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.jaxrs.model.wadl.WadlGeneratorTest,MEDIUM,1106,0.46,13,0.46,6,34,0.42,6,16,7,2,3,0.49,1,9,2,0,1,2,0,1,1,1,1,86,38,7,0.73,19,0.54,0.36,81,11,1,7,9,4,1,4,8,6,1,11,6,4,1,10,7,4,6,6,6,1,2,5,1,5,4,5,4,9,10,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.jaxrs.provider.AbstractJAXBProvider,MEDIUM,1090,0.56,19,0.53,6,28,0.3,2,4,4,0,3,0.52,1,5,1,0,0,1,0,2,2,0,0,54,79,5,0.9,52,0.65,0.23,35,4,7,4,2,12,7,3,0,9,0,1,10,8,10,1,6,1,10,7,5,8,5,9,3,1,2,4,8,7,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.jaxrs.provider.JAXBElementProviderTest,MEDIUM,1070,0.46,8,0.49,8,33,0.4,8,36,6,3,6,0.5,0,9,0,1,2,0,1,1,0,1,2,42,83,4,0.78,17,0.13,0.37,41,11,10,0,9,11,3,11,3,10,11,7,9,3,5,7,11,10,6,10,10,2,2,11,4,8,4,2,2,4,12,12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.jaxrs.provider.json.JSONProviderTest,MEDIUM,1027,0.34,9,0.48,7,28,0.36,10,33,4,4,3,0.52,0,2,2,2,0,2,2,2,1,0,2,37,93,1,0.22,24,0.22,0.05,82,3,3,2,1,11,12,8,10,0,1,11,7,1,1,10,3,2,6,4,10,5,3,1,6,9,5,7,6,3,12,11,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.jaxrs.provider.ProviderFactory,MEDIUM,947,0.3,15,0.53,10,27,0.4,3,25,5,1,3,0.49,3,7,1,2,1,2,2,0,2,1,2,90,84,1,0.86,28,0.61,0.52,97,7,2,6,12,10,7,0,4,11,7,4,10,4,7,5,6,5,1,1,5,8,4,11,6,8,8,5,10,4,5,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
org.apache.cxf.jaxrs.SelectMethodCandidatesTest,MEDIUM,956,0.4,9,0.47,6,34,0.41,7,17,6,1,5,0.4,2,9,0,2,1,2,1,2,2,2,1,115,96,24,0.18,28,0.37,0.08,17,1,1,12,12,12,7,7,7,9,7,4,12,3,10,2,4,9,2,0,4,9,9,7,8,7,10,5,2,8,1,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.jaxrs.utils.InjectionUtils,MEDIUM,906,0.42,16,0.42,5,28,0.32,4,26,7,2,3,0.53,2,2,0,1,1,2,2,1,2,2,0,55,49,18,0.67,37,0.07,0.96,95,1,7,9,3,4,6,7,3,12,12,10,10,9,1,9,11,8,12,1,4,3,10,8,5,5,9,8,0,1,8,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
org.apache.cxf.jaxrs.utils.JAXRSUtils,MEDIUM,1032,0.31,9,0.5,11,29,0.32,6,14,5,2,5,0.46,1,8,0,0,2,0,2,2,2,0,2,115,87,19,0.75,35,0.84,0.41,82,1,2,9,1,10,9,2,2,10,4,2,8,11,1,5,5,7,2,7,6,3,9,9,4,10,12,10,7,0,4,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
org.apache.cxf.jaxrs.utils.JAXRSUtilsTest,MEDIUM,947,0.3,7,0.49,9,26,0.39,7,15,6,2,5,0.55,1,4,1,2,0,0,2,2,2,1,2,26,110,50,0.38,20,0.95,0.96,97,5,5,11,4,0,4,10,4,1,5,7,3,7,3,9,12,4,5,3,8,3,3,6,11,5,4,9,5,10,9,5,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
org.apache.cxf.jaxrs.utils.ResourceUtils,MEDIUM,932,0.56,10,0.5,5,30,0.33,7,20,3,2,4,0.49,3,9,2,1,1,2,0,1,1,0,2,39,108,48,0.23,33,0.52,0.27,36,3,11,11,11,4,9,3,12,6,6,11,4,0,5,11,4,0,0,10,6,6,2,5,2,7,9,7,6,2,9,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
org.apache.cxf.jaxws.EndpointImpl,MEDIUM,901,0.49,19,0.47,9,28,0.39,5,24,5,1,4,0.55,3,8,0,2,2,2,1,0,2,1,0,118,60,42,0.06,16,0.27,0.19,26,4,10,10,10,1,6,10,10,10,5,4,6,1,5,2,5,8,12,1,0,0,10,1,2,6,4,7,0,5,0,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.jaxws.handler.HandlerChainInvokerTest,MEDIUM,1067,0.53,13,0.52,9,33,0.33,3,21,6,3,3,0.46,3,3,2,0,2,0,1,2,2,0,1,65,63,11,0.76,31,0.86,0.46,48,6,12,11,9,4,5,6,10,6,7,0,8,6,10,12,3,12,2,5,9,2,3,12,10,10,9,12,6,10,9,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.jaxws.ServiceImpl,MEDIUM,938,0.38,19,0.46,6,25,0.37,5,20,5,2,3,0.51,1,0,2,2,1,0,2,1,0,2,1,61,52,46,0.86,44,0.15,0.83,21,10,8,8,0,5,10,7,3,8,5,6,1,9,9,8,1,0,0,9,12,8,10,1,3,8,8,1,8,9,11,10,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
