smell,class,criticality,comments,coupling,changehistory,cohesion,size,complexity,production,testing
complex-class,org.apache.jena.ontology.impl.OntModelImpl,1,"
thanks… there are a number of loops that can be simplified.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.ontology.impl.OntResourceImpl,1,"
this is a case of wrong design that led to high complexity
",0,0,0,0,1,0,0
complex-class,org.apache.jena.ontology.OntModel,1,"
the model is hard to modify, it should be redesigned.
",0,1,0,0,0,0,0
complex-class,org.apache.jena.ontology.OntResource,1,"
simplifying it would be good for making newcomers more able to work on it.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.permissions.model.impl.SecuredModelImpl,1,"
the model could for sure be simplified, I'll consider it.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.permissions.model.SecuredModel,1,"
the model could for sure be simplified, I'll consider it.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.permissions.model.SecuredModelTest,1,"
the problem here is that the test is complex because of the class tested. 
",0,0,0,0,1,0,1
complex-class,org.apache.jena.query.ParameterizedSparqlString,1,"
the number of parameters of the class is high, this makes the class poorly understandable. However, it is used by several classes and may be risky to refactor it.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.query.Query,1,"
this is legacy code that is complex to read but also to refactor.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.rdf.model.impl.ModelCom,1,"
the components are slightly hard to understand.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.rdf.model.Model,1,"
too many methods implemented, where each of them uses too many parameters.
",0,0,0,1,0,0,0
complex-class,org.apache.jena.rdfxml.xmloutput.impl.Unparser,1,"
this is a complex activity that requires some more methods.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.sparql.expr.NodeValue,1,"
> thanks for reaching me out. I'll take a look, the class seems too complex.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.sparql.expr.nodevalue.XSDFuncOp,1,"
the class is not easily understandable for newcomers. 
",0,0,0,0,1,0,0
complex-class,org.apache.jena.sparql.expr.TestFunctions,1,"
it tests functions, it may be improved but not now.
",0,0,0,0,0,0,1
complex-class,org.apache.jena.sparql.expr.TestFunctions2,1,"
it tests functions, it may be improved but not now.
",0,0,0,0,0,0,1
complex-class,org.apache.jena.sparql.lang.arq.ARQParser,1,"
the parser is naturally complex, it may be improved but still… 
",0,0,0,0,1,1,0
complex-class,org.apache.jena.sparql.lang.sparql_10.SPARQLParser10,1,"
this is a intrinsically complex class.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.sparql.lang.sparql_11.SPARQLParser11,1,"
this is a intrinsically complex class.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.sparql.sse.builders.BuilderExpr,1,"
the way the expressions are constructed could be improved for readability.
",0,0,0,0,1,0,0
complex-class,org.apache.lucene.codecs.lucene50.Lucene50DocValuesProducer,2,"
the class is poorly cohesive and almost unreadable. 
",0,0,1,0,0,0,0
complex-class,org.apache.lucene.index.BaseDocValuesFormatTestCase,2,"
tests are important. So, it needs to be properly refactored, now it is a collection of things.
",0,0,0,0,0,0,1
complex-class,org.apache.lucene.index.IndexWriter,2,"
the index should be restructured, as is it is too complex.
",0,0,0,0,1,0,0
complex-class,org.apache.lucene.index.TestIndexWriter,2,"
tests are important and especially this class has a key role in Lucene. So, it needs to be properly refactored, now it is a collection of things.
",0,0,0,0,0,0,1
complex-class,org.apache.lucene.index.TestIndexWriterExceptions,2,"
tests are important. So, it needs to be properly refactored, now it is a collection of things.
",0,0,0,0,0,0,1
complex-class,org.apache.lucene.search.highlight.HighlighterTest,2,"
this is another example of wrongly designed test that is too complex to be modified.
",0,1,0,0,1,0,1
complex-class,org.apache.lucene.util.LuceneTestCase,2,"
this is another example of wrongly designed test that is too complex to be modified.
",0,1,0,0,1,0,1
complex-class,org.apache.lucene.util.TestUtil,2,"
this is another example of wrongly designed test that is too complex to be modified.
",0,1,0,0,1,0,1
complex-class,org.apache.mahout.math.Sorting,2,"
this is long and hard to understand, there may be some refactoring ongoing. 
",0,0,0,1,1,0,0
complex-class,org.apache.solr.BaseDistributedSearchTestCase,2,"
too many conditions changed over time and some dead code: these made the class complex and hard to maintain.
",0,1,0,0,1,0,0
complex-class,org.apache.solr.client.solrj.SolrClient,2,"
as this is a core class, it should be less complex than it is currently.
",0,0,0,0,1,0,0
complex-class,org.apache.solr.client.solrj.SolrQuery,2,"
as this is a core class, it should be less complex than it is currently.
",0,0,0,0,1,0,0
complex-class,org.apache.solr.cloud.AbstractFullDistribZkTestBase,2,"
this is another example of wrongly designed test that is too complex to be modified.
",0,1,0,0,1,0,1
complex-class,org.apache.solr.cloud.OverseerCollectionMessageHandler,2,"
this class was modified recently, that's why it became complex. We plan to do something. 
",0,1,0,0,1,0,0
complex-class,org.apache.solr.cloud.ZkController,2,"
the class does too many things and would require some action. 
",0,0,0,0,1,0,0
complex-class,org.apache.solr.common.util.JavaBinCodec,2,"
yes, we are aware of the poor design and complexity of this class. 
",0,0,0,0,1,0,0
complex-class,org.apache.solr.core.SolrCore,2,"
as this is a core class, it should be less complex than it is currently.
",0,0,0,0,1,0,0
complex-class,org.apache.solr.schema.FieldType,2,"
this class should be carefully refactored in terms of complexity.
",0,0,0,0,1,0,0
complex-class,org.apache.solr.schema.IndexSchema,2,"
this is hardly understandable, it should be refactored. 
",0,0,0,0,1,0,0
complex-class,org.apache.solr.search.SolrIndexSearcher,2,"
as this is a core class, it should be less complex than it is currently.
",0,0,0,0,1,0,0
complex-class,org.apache.solr.search.ValueSourceParser,2,"
as this is a core class, it should be less complex than it is currently.
",0,0,0,0,1,0,0
complex-class,org.apache.solr.SolrTestCaseJ4,2,"
the test is overly complicated and not easy to understand.
",0,0,0,0,1,0,1
complex-class,org.eclipse.cdt.core.CCorePlugin,1,"
It is complex to read, but not that hard to modify.
",0,1,0,0,1,0,0
complex-class,org.eclipse.cdt.core.dom.lrparser.action.BuildASTParserAction,1,"
a bit too complex.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.core.dom.lrparser.action.cpp.CPPBuildASTParserAction,1,"
this should be refactored at some point to reduce its complexity.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.core.internal.errorparsers.tests.ErrorParserFileMatchingTest,1,"
as a test, it needs to find defects and not necessarily needs to be readable. 
",0,0,0,0,1,0,1
complex-class,org.eclipse.cdt.core.model.CoreModel,1,"
this is another class that may be simplified, even tough it is intrinsically complicated.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.core.parser.tests.ast2.AST2CPPSpecTest,1,"
the class is a test, it is pretty complex but works.
",0,0,0,0,1,0,1
complex-class,org.eclipse.cdt.core.parser.tests.ast2.AST2CPPTests,1,"
the class is a test, it is pretty complex but works.
",0,0,0,0,1,0,1
complex-class,org.eclipse.cdt.core.parser.tests.ast2.AST2TemplateTests,1,"
the class is a test, it is pretty complex but works.
",0,0,0,0,1,0,1
complex-class,org.eclipse.cdt.core.parser.tests.ast2.AST2Tests,1,"
the class is a test, it is pretty complex but works.
",0,0,0,0,1,0,1
complex-class,org.eclipse.cdt.core.parser.tests.ast2.CompleteParser2Tests,1,"
the class is a test, it is pretty complex but works.
",0,0,0,0,1,0,1
complex-class,org.eclipse.cdt.core.parser.tests.ast2.QuickParser2Tests,1,"
while the class can be hard to understand, I would not refactor it.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.core.parser.tests.scanner.PortedScannerTests,1,"
it scans elements to check the correct inner-working of the Scanner: it is a bit too complex, but we can live with that.
",0,0,0,0,1,1,0
complex-class,org.eclipse.cdt.core.settings.model.util.CDataUtil,1,"
""this is utility class, I would put its refactoring in the """"non-urgent"""" list""
",0,0,0,0,0,1,0
complex-class,org.eclipse.cdt.core.settings.model.util.PathEntryTranslator,1,"
the path translator can be simplified, but the class doe not change so much so there is no really need to refactor.
",0,1,0,0,1,1,0
complex-class,org.eclipse.cdt.debug.core.CDebugUtils,1,"
I see this can be considered too complex.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.core.CDebugUtils,1,"
This is a utility class, could be made less large.
",0,0,0,1,0,1,0
complex-class,org.eclipse.cdt.debug.core.CDIDebugModel,1,"
the class is inheritely complex and may be refactored. 
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.core.CDIDebugModel,1,"
the model could be simplified in some points.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.core.executables.ExecutablesManager,1,"
poorly readable andquite  complex.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.gdbjtag.ui.GDBJtagStartupTab,1,"
I see that the class has some complexity.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.internal.core.CBreakpointManager,1,"
the class is clearly complex and makes a lot of things. However, it changes not that often.
",0,1,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.internal.core.CBreakpointManager,1,"
there are methods that can be simplified.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.internal.core.model.CDebugTarget,1,"
some methods could be residegned to avoid complexity.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.internal.core.model.CDebugTarget,1,"
the class has been modified in the past and this made it complex… but now it is stable enough.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.internal.core.model.CStackFrame,1,"
it is hard to understand if you dont know it. 
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.internal.core.model.CStackFrame,1,"
this is complex code that is even hard to understand.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.internal.core.model.CThread,1,"
Cthread has always been a bit complicated, but it is in the codebase since long time now and there is no urgent need to refactor. 
",0,0,0,1,1,1,0
complex-class,org.eclipse.cdt.debug.internal.core.model.CThread,1,"
threads are naturally more difficult to manage and understand.
",0,0,0,0,1,1,0
complex-class,org.eclipse.cdt.debug.internal.core.model.CValue,1,"
the class is a bit more complex than the needed.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.internal.ui.breakpoints.CBreakpointPropertyPage,1,"
there are too many properties checked inside.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.internal.ui.CDebugModelPresentation,1,"
the presentation seems to be pretty complex, esp. for newcomers.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.internal.ui.dialogfields.ListDialogField,1,"
it is hard to read, perhaps some refactoring would be needed.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.mi.core.cdi.BreakpointManager,1,"
too many conditions checked.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.mi.core.cdi.model.Target,1,"
I see this class having a number of problems, including the high complexity of some methods.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.mi.core.cdi.model.Target,1,"
the class might be simplified, but it is not that urgent at the moment
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.mi.core.cdi.VariableManager,1,"
this manager is poorly understandable.
",0,0,0,0,1,1,0
complex-class,org.eclipse.cdt.debug.mi.core.command.CommandFactory,1,"
the factory classes are all hard to understand because they loop over multiple elements and this may create confusion to those who have not developed actively them. Nevertheless, they would not require urgetn changes
",0,1,0,0,1,1,0
complex-class,org.eclipse.cdt.debug.mi.core.MIPlugin,1,"
complex and poorly readable. 
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.mi.core.MISession,1,"
I agree on the fact that this class could be made more readable by adding some documentaion
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.mi.internal.ui.dialogfields.ListDialogField,1,"
the class could be improved in terms of complexity.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.ui.breakpoints.AbstractToggleBreakpointAdapter,1,"
the class may be refactored for comprehensibility, still I dont believe it's so serious.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.ui.memory.floatingpoint.Rendering,1,"
the class has a number of loops that may be simplified, even tough there is no urgency for that.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.ui.memory.memorybrowser.MemoryBrowser,1,"
the class keeps track of the memory spent by the parser, it is old enough not to be touched frequently. 
",0,1,0,0,0,1,0
complex-class,org.eclipse.cdt.debug.ui.memory.traditional.Rendering,1,"
the class has a number of loops that may be simplified, even tough there is no urgency for that.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.debug.internal.ui.disassembly.DisassemblyBackendDsf,0,"
there may be the case of reducing the comlpexity of this class.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.debug.internal.ui.disassembly.DisassemblyPart,1,"
the class is rarely touched.
",0,1,0,0,0,0,0
complex-class,org.eclipse.cdt.dsf.debug.internal.ui.disassembly.DisassemblyPart,0,"
DisassemblyPart requires some refactoring because it has too many loops and if statements, yet it is now in a stable fashion.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.debug.internal.ui.disassembly.model.DisassemblyDocument,1,"
methods of this class could be simplified, I see.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.debug.internal.ui.disassembly.model.DisassemblyDocument,0,"
same as above.
",0,1,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.debug.internal.ui.disassembly.text.REDTextStore,0,"
rarely modified, even tough some methods should be improved. 
",0,1,0,0,0,0,0
complex-class,org.eclipse.cdt.dsf.debug.service.BreakpointsMediator,1,"
the class has some issue in terms of complexity. It may be improved.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.debug.service.BreakpointsMediator2,1,"
does too many things in the wrong manner… 
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.debug.ui.sourcelookup.DsfSourceDisplayAdapter,0,"
the complexity is still reasonably low for my standards.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.debug.ui.viewmodel.launch.StackFramesVMNode,0,"
the class has some methods that look complex, but it is not really a problem.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.debug.ui.viewmodel.register.RegisterVMNode,0,"
while I see some methods going toward an excessive complexity, this is still ok.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.gdb.internal.ui.tracepoints.TraceControlView,0,"
there are methods that might require some refactoring for understandability.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.gdb.multicorevisualizer.internal.ui.view.MulticoreVisualizer,0,"
i see methods that appear too complex to understand.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.gdb.multicorevisualizer.internal.ui.view.MulticoreVisualizerCanvas,0,"
complex methods.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.gdb.service.command.GDBControl,0,"
I wouldn't change this class.
",0,1,0,0,0,0,0
complex-class,org.eclipse.cdt.dsf.gdb.service.GDBProcesses_7_0,0,"
the processes work pretty well but they may seem poorly designed - they are complex to work on for newcomers. We have some changes to this class and refactor now would be a bit complicated.
",0,1,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.gdb.service.GDBRegisters,0,"
I can see some methods are growing, but for now they look fine.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.gdb.service.GDBRunControl_7_0_NS,0,"
the class is a bit too complex wrt how I usually proceed, but I wouldn't say this is a big issue.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.mi.service.command.AbstractMIControl,0,"
don't see the need of simplyfing the class. 
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.mi.service.command.CommandFactory,0,"
factories are naturally harder to design and some action aimed at reducing their complexity migh be done.
",0,0,0,0,1,1,0
complex-class,org.eclipse.cdt.dsf.mi.service.MIBreakpointsManager,0,"
the class contains too many loops and this has the effect of making it hard to read. It is possible to improve its design tough
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.mi.service.MIBreakpointsSynchronizer,1,"
don't believe the complexity is that high after all.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.mi.service.MIBreakpointsSynchronizer,0,"
there might be the chance of reducing the complexity given by the many loops of the class at some point. 
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.mi.service.MIMemory,0,"
I see some complexity evolving, but i'm ok with that. 
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.mi.service.MIRunControl,0,"
it may be a bit complex, but I am the only one working here.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.mi.service.MIStack,0,"
it has some methods that could be split, but this is not really an issue.
",0,0,0,1,0,0,0
complex-class,org.eclipse.cdt.dsf.ui.viewmodel.update.AbstractCachingVMProvider,0,"
it doesn't change, not requires refactoring.
",0,1,0,0,0,0,0
complex-class,org.eclipse.cdt.examples.pdavm.PDAVirtualMachine,0,"
I am not the main contributor of this, but it seems there is a method that is not understanble and way too complex.
",0,1,0,0,1,0,0
complex-class,org.eclipse.cdt.internal.core.CharOperation,1,"
It is complex to read, but not that hard to modify.
",0,1,0,0,1,0,0
complex-class,org.eclipse.cdt.internal.core.dom.lrparser.c99.C99ExpressionParser,1,"
the class seems to be too complex.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.internal.core.dom.lrparser.c99.C99NoCastExpressionParser,1,"
the documentation is absent and some parts are hard to understand.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.internal.core.dom.lrparser.c99.C99Parser,1,"
I see some methods using too many loops.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.internal.core.dom.lrparser.c99.C99SizeofExpressionParser,1,"
the class is clearly too complex.
",0,0,0,0,1,0,0
