smell,class,comments,coupling,changehistory,cohesion,size,complexity,production,testing
complex-class,org.apache.cxf.tools.corba.processors.wsdl.WSDLToCorbaHelper,"
it is complex, should be redesigned.
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.tools.wadlto.jaxrs.SourceGenerator,"
I'm aware this can be improved, I will work on it.
",0,0,0,0,0,0,0
complex-class,org.apache.cxf.ws.rm.persistence.jdbc.RMTxStore,"
it is simply unreadable, it must be fixed. 
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.ws.security.trust.AbstractSTSClient,"
this is a problematic case, I plan to have a further look at it ASAP.
",0,0,0,0,0,0,0
complex-class,org.apache.cxf.ws.security.wss4j.policyhandlers.AbstractBindingBuilder,"
also this case is problematic, we should remove it. 
",0,0,0,0,0,0,0
complex-class,org.apache.cxf.wsdl.service.factory.ReflectionServiceFactoryBean,"
too many if conditions, needs refactoring.
",0,0,0,0,1,0,0
complex-class,org.apache.jackrabbit.api.security.user.UserManagerSearchTest,"
it is extremely complex!
",0,0,0,0,1,0,0
complex-class,org.apache.jackrabbit.commons.JcrUtils,"
a utility class may be like that, I dont see a big problem.
",0,0,0,0,0,1,0
complex-class,org.apache.jackrabbit.core.NodeImpl,"
this is a clear case of wrong implementation, that is even hard to fix
",0,0,0,0,1,0,0
complex-class,org.apache.jackrabbit.core.query.lucene.SearchIndex,"
the index has almost never touched since time.
",0,1,0,0,0,0,0
complex-class,org.apache.jackrabbit.core.RepositoryImpl,"
not really an issue, it doesnt change too often.
",0,1,0,0,0,0,0
complex-class,org.apache.jackrabbit.core.SessionImpl,"
while it is poorly understandable, the modifications here are limited.
",0,1,0,0,1,0,0
complex-class,org.apache.jackrabbit.jcr2spi.AbstractJCR2SPITest,"
as long as the test finds bugs, it is ok to have complexity. 
",0,0,0,1,1,0,1
complex-class,org.apache.jackrabbit.jcr2spi.hierarchy.NodeEntryImpl,"
it is problematic, but not at the point to remove it.
",0,0,0,0,0,0,0
complex-class,org.apache.jackrabbit.jcr2spi.NodeImpl,"
yeah, I am aware this may be done better. The time I have is limited to simplify it.
",0,0,0,0,1,0,0
complex-class,org.apache.jackrabbit.jcr2spi.SessionImpl,"
thanks for letting me know
",0,0,0,0,0,0,0
complex-class,org.apache.jackrabbit.rmi.client.ClientNode,"
this may be written better, I agree, but the things are done now. 
",0,0,0,0,0,0,0
complex-class,org.apache.jackrabbit.rmi.server.ServerNode,"
this may be written better, I agree, but the things are done now. 
",0,0,0,0,0,0,0
complex-class,org.apache.jackrabbit.spi.commons.logging.RepositoryServiceLogger,"
this must be simplified, I agree with that. 
",0,0,0,0,1,0,0
complex-class,org.apache.jackrabbit.spi.commons.query.qom.QueryObjectModelFactoryImpl,"
the factory implementation borned as a design pattern, but the experiment went wrongâ?
",0,0,0,0,0,1,0
complex-class,org.apache.jackrabbit.spi.commons.query.sql.JCRSQLParser,"
classes like this one should be simplified, otherwise it is simply impossible to work.
",0,0,0,0,1,0,0
complex-class,org.apache.jackrabbit.spi.commons.query.xpath.XPath,"
there are a number of chances to refactor this class, I will have to consider it.
",0,0,0,0,0,0,0
complex-class,org.apache.jackrabbit.spi.commons.query.xpath.XPathTokenManager,"
this is too complex, there are too many conditions checked. Perhaps it would be better to split the manager in two.
",0,0,0,0,1,1,0
complex-class,org.apache.jackrabbit.spi.RepositoryService,"
it is really complex, I have problems while touching it and I was already considering the idea of removing this class.
",0,1,0,0,1,0,0
complex-class,org.apache.jackrabbit.spi2dav.RepositoryServiceImpl,"
this is one of the core classes of the system, we should take care of it. Thanks for you email.
",0,0,0,0,0,0,0
complex-class,org.apache.jackrabbit.spi2jcr.RepositoryServiceImpl,"
this is one of the core classes of the system, we should take care of it. Thanks for you email.
",0,0,0,0,0,0,0
complex-class,org.apache.jackrabbit.test.api.version.RestoreTest,"
it's a test, so no need to really think about its complexity.
",0,0,0,0,1,0,1
complex-class,org.apache.jackrabbit.test.api.version.simple.RestoreTest,"
it's a test, so no need to really think about its complexity.
",0,0,0,0,1,0,1
complex-class,org.apache.jackrabbit.test.api.version.VersionHistoryTest,"
it's a test, so no need to really think about its complexity.
",0,0,0,0,1,0,1
complex-class,org.apache.jackrabbit.test.api.version.VersionTest,"
it's a test, so no need to really think about its complexity.
",0,0,0,0,1,0,1
complex-class,org.apache.jackrabbit.webdav.WebdavRequestImpl,"
horrible class, we should kill it. 
",0,0,0,0,0,0,0
complex-class,org.apache.jena.atlas.iterator.Iter,"
too many loops, yet sometimes this is required. 
",0,0,0,0,1,0,0
complex-class,org.apache.jena.jdbc.connections.AbstractJenaConnectionTests,"
we did some refactoring but the complexity didn't decrease too much.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.jdbc.connections.JenaConnection,"
the connection could actually be simplified.
",1,0,0,0,1,0,0
complex-class,org.apache.jena.jdbc.metadata.JenaMetadata,"
it is way too complex for the action it is supposed to do.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.jdbc.metadata.results.MetaResultSet,"
the complexity of this class is not aligned with its functionalities.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.jdbc.results.AbstractResultSetTests,"
I see that an external notes that the design of the class could be improved (there are too many methods that do too many things), but I use to develop on this class and refactoring may be done at some point. 
",1,0,0,0,0,0,0
complex-class,org.apache.jena.jdbc.results.JenaResultSet,"
this is hard to understandâ?but I usually develop here.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.jdbc.statements.AbstractJenaStatementTests,"
i'll do some refactoring, this is actually a bit too complex. 
",0,0,0,0,1,0,0
complex-class,org.apache.jena.ontology.impl.OntModelImpl,"
thanksâ?there are a number of loops that can be simplified.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.ontology.impl.OntResourceImpl,"
this is a case of wrong design that led to high complexity
",0,0,0,0,1,0,0
complex-class,org.apache.jena.ontology.OntModel,"
the model is hard to modify, it should be redesigned.
",0,1,0,0,0,0,0
complex-class,org.apache.jena.ontology.OntResource,"
simplifying it would be good for making newcomers more able to work on it.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.permissions.model.impl.SecuredModelImpl,"
the model could for sure be simplified, I'll consider it.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.permissions.model.SecuredModel,"
the model could for sure be simplified, I'll consider it.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.permissions.model.SecuredModelTest,"
the problem here is that the test is complex because of the class tested. 
",0,0,0,0,1,0,1
complex-class,org.apache.jena.query.ParameterizedSparqlString,"
the number of parameters of the class is high, this makes the class poorly understandable. However, it is used by several classes and may be risky to refactor it.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.query.Query,"
this is legacy code that is complex to read but also to refactor.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.rdf.model.impl.ModelCom,"
the components are slightly hard to understand.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.rdf.model.Model,"
too many methods implemented, where each of them uses too many parameters.
",0,0,0,1,0,0,0
complex-class,org.apache.jena.rdfxml.xmloutput.impl.Unparser,"
this is a complex activity that requires some more methods.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.riot.RDFDataMgr,"
it's a bit tricky.
",0,0,0,0,0,0,0
complex-class,org.apache.jena.riot.thrift.wire.RDF_Term,"
the class is clearly poorly designed.
",0,0,0,0,0,0,0
complex-class,org.apache.jena.sparql.expr.NodeValue,"
> thanks for reaching me out. I'll take a look, the class seems too complex.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.sparql.expr.nodevalue.XSDFuncOp,"
the class is not easily understandable for newcomers. 
",0,0,0,0,1,0,0
complex-class,org.apache.jena.sparql.expr.TestExpressions,"
poorly designed, may require some refactoring. 
",0,0,0,0,0,0,0
complex-class,org.apache.jena.sparql.expr.TestFunctions,"
it tests functions, it may be improved but not now.
",0,0,0,0,0,0,1
complex-class,org.apache.jena.sparql.expr.TestFunctions2,"
it tests functions, it may be improved but not now.
",0,0,0,0,0,0,1
complex-class,org.apache.jena.sparql.lang.arq.ARQParser,"
the parser is naturally complex, it may be improved but stillâ?
",0,0,0,0,1,1,0
complex-class,org.apache.jena.sparql.lang.sparql_10.SPARQLParser10,"
this is a intrinsically complex class.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.sparql.lang.sparql_11.SPARQLParser11,"
this is a intrinsically complex class.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.sparql.sse.builders.BuilderExpr,"
the way the expressions are constructed could be improved for readability.
",0,0,0,0,1,0,0
complex-class,org.apache.lucene.codecs.lucene50.Lucene50DocValuesProducer,"
the class is poorly cohesive and almost unreadable. 
",0,0,1,0,0,0,0
complex-class,org.apache.lucene.index.BaseDocValuesFormatTestCase,"
tests are important. So, it needs to be properly refactored, now it is a collection of things.
",0,0,0,0,0,0,1
complex-class,org.apache.lucene.index.IndexWriter,"
the index should be restructured, as is it is too complex.
",0,0,0,0,1,0,0
complex-class,org.apache.lucene.index.TestIndexWriter,"
tests are important and especially this class has a key role in Lucene. So, it needs to be properly refactored, now it is a collection of things.
",0,0,0,0,0,0,1
complex-class,org.apache.lucene.index.TestIndexWriterExceptions,"
tests are important. So, it needs to be properly refactored, now it is a collection of things.
",0,0,0,0,0,0,1
complex-class,org.apache.lucene.search.highlight.HighlighterTest,"
this is another example of wrongly designed test that is too complex to be modified.
",0,1,0,0,1,0,1
complex-class,org.apache.lucene.util.LuceneTestCase,"
this is another example of wrongly designed test that is too complex to be modified.
",0,1,0,0,1,0,1
complex-class,org.apache.lucene.util.TestUtil,"
this is another example of wrongly designed test that is too complex to be modified.
",0,1,0,0,1,0,1
complex-class,org.apache.mahout.math.function.Functions,"
the class can be re-organized in a pretty straighforward way IMO.
",0,0,0,0,0,0,0
complex-class,org.apache.mahout.math.Sorting,"
this is long and hard to understand, there may be some refactoring ongoing. 
",0,0,0,1,1,0,0
complex-class,org.apache.solr.BaseDistributedSearchTestCase,"
too many conditions changed over time and some dead code: these made the class complex and hard to maintain.
",0,1,0,0,1,0,0
complex-class,org.apache.solr.client.solrj.SolrClient,"
as this is a core class, it should be less complex than it is currently.
",0,0,0,0,1,0,0
complex-class,org.apache.solr.client.solrj.SolrQuery,"
as this is a core class, it should be less complex than it is currently.
",0,0,0,0,1,0,0
complex-class,org.apache.solr.cloud.AbstractFullDistribZkTestBase,"
this is another example of wrongly designed test that is too complex to be modified.
",0,1,0,0,1,0,1
complex-class,org.apache.solr.cloud.OverseerCollectionMessageHandler,"
this class was modified recently, that's why it became complex. We plan to do something. 
",0,1,0,0,1,0,0
complex-class,org.apache.solr.cloud.ZkController,"
the class does too many things and would require some action. 
",0,0,0,0,1,0,0
complex-class,org.apache.solr.common.util.JavaBinCodec,"
yes, we are aware of the poor design and complexity of this class. 
",0,0,0,0,1,0,0
complex-class,org.apache.solr.core.SolrCore,"
as this is a core class, it should be less complex than it is currently.
",0,0,0,0,1,0,0
complex-class,org.apache.solr.schema.FieldType,"
this class should be carefully refactored in terms of complexity.
",0,0,0,0,1,0,0
complex-class,org.apache.solr.schema.IndexSchema,"
this is hardly understandable, it should be refactored. 
",0,0,0,0,1,0,0
complex-class,org.apache.solr.search.SolrIndexSearcher,"
as this is a core class, it should be less complex than it is currently.
",0,0,0,0,1,0,0
complex-class,org.apache.solr.search.ValueSourceParser,"
as this is a core class, it should be less complex than it is currently.
",0,0,0,0,1,0,0
complex-class,org.apache.solr.SolrTestCaseJ4,"
the test is overly complicated and not easy to understand.
",0,0,0,0,1,0,1
complex-class,org.eclipse.cdt.core.CCorePlugin,"
It is complex to read, but not that hard to modify.
",0,1,0,0,1,0,0
complex-class,org.eclipse.cdt.core.dom.lrparser.action.BuildASTParserAction,"
a bit too complex.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.core.dom.lrparser.action.cpp.CPPBuildASTParserAction,"
this should be refactored at some point to reduce its complexity.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.core.dom.lrparser.action.cpp.CPPBuildASTParserAction,"
three/four methods of this class should be redesigned.
",0,0,0,0,0,0,0
complex-class,org.eclipse.cdt.core.internal.errorparsers.tests.ErrorParserFileMatchingTest,"
as a test, it needs to find defects and not necessarily needs to be readable. 
",0,0,0,0,1,0,1
complex-class,org.eclipse.cdt.core.model.CoreModel,"
this is another class that may be simplified, even tough it is intrinsically complicated.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.core.parser.tests.ast2.AST2CPPSpecTest,"
the class is a test, it is pretty complex but works.
",0,0,0,0,1,0,1
complex-class,org.eclipse.cdt.core.parser.tests.ast2.AST2CPPTests,"
the class is a test, it is pretty complex but works.
",0,0,0,0,1,0,1
complex-class,org.eclipse.cdt.core.parser.tests.ast2.AST2TemplateTests,"
the class is a test, it is pretty complex but works.
",0,0,0,0,1,0,1
complex-class,org.eclipse.cdt.core.parser.tests.ast2.AST2Tests,"
the class is a test, it is pretty complex but works.
",0,0,0,0,1,0,1
complex-class,org.eclipse.cdt.core.parser.tests.ast2.CompleteParser2Tests,"
the class is a test, it is pretty complex but works.
",0,0,0,0,1,0,1
complex-class,org.eclipse.cdt.core.parser.tests.ast2.QuickParser2Tests,"
while the class can be hard to understand, I would not refactor it.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.core.parser.tests.scanner.PortedScannerTests,"
it scans elements to check the correct inner-working of the Scanner: it is a bit too complex, but we can live with that.
",0,0,0,0,1,1,0
complex-class,org.eclipse.cdt.core.settings.model.util.CDataUtil,"
""this is utility class, I would put its refactoring in the """"non-urgent"""" list""
",0,0,0,0,0,1,0
complex-class,org.eclipse.cdt.core.settings.model.util.PathEntryTranslator,"
the path translator can be simplified, but the class doe not change so much so there is no really need to refactor.
",0,1,0,0,1,1,0
complex-class,org.eclipse.cdt.debug.core.CDebugUtils,"
I see this can be considered too complex.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.core.CDebugUtils,"
This is a utility class, could be made less large.
",0,0,0,1,0,1,0
complex-class,org.eclipse.cdt.debug.core.CDIDebugModel,"
the class is inheritely complex and may be refactored. 
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.core.CDIDebugModel,"
the model could be simplified in some points.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.core.executables.ExecutablesManager,"
poorly readable andquite  complex.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.gdbjtag.ui.GDBJtagStartupTab,"
I see that the class has some complexity.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.internal.core.CBreakpointManager,"
the class is clearly complex and makes a lot of things. However, it changes not that often.
",0,1,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.internal.core.CBreakpointManager,"
there are methods that can be simplified.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.internal.core.model.CDebugTarget,"
some methods could be residegned to avoid complexity.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.internal.core.model.CDebugTarget,"
the class has been modified in the past and this made it complexâ?but now it is stable enough.
",0,1,0,0,0,0,0
complex-class,org.eclipse.cdt.debug.internal.core.model.CStackFrame,"
it is hard to understand if you dont know it. 
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.internal.core.model.CStackFrame,"
this is complex code that is even hard to understand.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.internal.core.model.CThread,"
Cthread has always been a bit complicated, but it is in the codebase since long time now and there is no urgent need to refactor. 
",0,0,0,1,1,1,0
complex-class,org.eclipse.cdt.debug.internal.core.model.CThread,"
threads are naturally more difficult to manage and understand.
",0,0,0,0,1,1,0
complex-class,org.eclipse.cdt.debug.internal.core.model.CValue,"
the class is a bit more complex than the needed.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.internal.ui.breakpoints.CBreakpointPropertyPage,"
there are too many properties checked inside.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.internal.ui.CDebugModelPresentation,"
the presentation seems to be pretty complex, esp. for newcomers.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.internal.ui.dialogfields.ListDialogField,"
it is hard to read, perhaps some refactoring would be needed.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.mi.core.cdi.BreakpointManager,"
too many conditions checked.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.mi.core.cdi.model.Target,"
I see this class having a number of problems, including the high complexity of some methods.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.mi.core.cdi.model.Target,"
the class might be simplified, but it is not that urgent at the moment
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.mi.core.cdi.VariableManager,"
this manager is poorly understandable.
",0,0,0,0,1,1,0
complex-class,org.eclipse.cdt.debug.mi.core.command.CommandFactory,"
the factory classes are all hard to understand because they loop over multiple elements and this may create confusion to those who have not developed actively them. Nevertheless, they would not require urgetn changes
",0,1,0,0,1,1,0
complex-class,org.eclipse.cdt.debug.mi.core.MIPlugin,"
complex and poorly readable. 
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.mi.core.MISession,"
I agree on the fact that this class could be made more readable by adding some documentaion
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.mi.internal.ui.dialogfields.ListDialogField,"
the class could be improved in terms of complexity.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.ui.breakpoints.AbstractToggleBreakpointAdapter,"
the class may be refactored for comprehensibility, still I dont believe it's so serious.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.ui.breakpoints.AbstractToggleBreakpointAdapter,"
the documentation of this class should be improved.
",0,0,0,0,0,0,0
complex-class,org.eclipse.cdt.debug.ui.memory.floatingpoint.Rendering,"
the class has a number of loops that may be simplified, even tough there is no urgency for that.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.debug.ui.memory.memorybrowser.MemoryBrowser,"
the class keeps track of the memory spent by the parser, it is old enough not to be touched frequently. 
",0,1,0,0,0,1,0
complex-class,org.eclipse.cdt.debug.ui.memory.traditional.Rendering,"
the class has a number of loops that may be simplified, even tough there is no urgency for that.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.debug.internal.ui.actions.AbstractDsfRegisterGroupActions,"
the class may have been better designed, but it's still doable working on it.
",0,0,0,0,0,0,0
complex-class,org.eclipse.cdt.dsf.debug.internal.ui.disassembly.DisassemblyBackendDsf,"
there may be the case of reducing the comlpexity of this class.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.debug.internal.ui.disassembly.DisassemblyPart,"
the class is rarely touched.
",0,1,0,0,0,0,0
complex-class,org.eclipse.cdt.dsf.debug.internal.ui.disassembly.DisassemblyPart,"
DisassemblyPart requires some refactoring because it has too many loops and if statements, yet it is now in a stable fashion.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.debug.internal.ui.disassembly.model.DisassemblyDocument,"
methods of this class could be simplified, I see.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.debug.internal.ui.disassembly.model.DisassemblyDocument,"
same as above.
",0,1,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.debug.internal.ui.disassembly.provisional.DisassemblyRulerColumn,"
I can work on that.
",0,0,0,0,0,0,0
complex-class,org.eclipse.cdt.dsf.debug.internal.ui.disassembly.text.REDTextStore,"
rarely modified, even tough some methods should be improved. 
",0,1,0,0,0,0,0
complex-class,org.eclipse.cdt.dsf.debug.internal.ui.viewmodel.numberformat.detail.NumberFormatDetailPane,"
this is legacy code.
",0,0,0,0,0,0,0
complex-class,org.eclipse.cdt.dsf.debug.service.BreakpointsMediator,"
the class has some issue in terms of complexity. It may be improved.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.debug.service.BreakpointsMediator2,"
does too many things in the wrong mannerâ?
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.debug.ui.sourcelookup.DsfSourceDisplayAdapter,"
the complexity is still reasonably low for my standards.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.debug.ui.viewmodel.launch.StackFramesVMNode,"
the class has some methods that look complex, but it is not really a problem.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.debug.ui.viewmodel.register.RegisterBitFieldVMNode,"
I work on this class and do not problems with that. 
",0,0,0,0,0,0,0
complex-class,org.eclipse.cdt.dsf.debug.ui.viewmodel.register.RegisterVMNode,"
while I see some methods going toward an excessive complexity, this is still ok.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.debug.ui.viewmodel.SteppingController,"
I do not see the need for refactoring.
",0,0,0,0,0,0,0
complex-class,org.eclipse.cdt.dsf.debug.ui.viewmodel.variable.VariableVMNode,"
the class is not yet problematic. 
",0,0,0,0,0,0,0
complex-class,org.eclipse.cdt.dsf.gdb.internal.ui.tracepoints.TraceControlView,"
there are methods that might require some refactoring for understandability.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.gdb.multicorevisualizer.internal.ui.view.MulticoreVisualizer,"
i see methods that appear too complex to understand.
",0,0,0,0,1,0,0
complex-class,org.eclipse.cdt.dsf.gdb.multicorevisualizer.internal.ui.view.MulticoreVisualizerCanvas,"
complex methods.
",0,0,0,0,1,0,0
