,smell,entropy,class,correct_prediction,important_features,criticality,comments,coupling,changehistory,cohesion,size,complexity,production,testing,selected_cohesion,selected_coupling,selected_size,selected_complexity,selected_changehistory,selected_production,selected_testing
328,spaghetti-code,0.893370208,org.apache.jackrabbit.core.config.RepositoryConfig,TRUE,"['Readability', 'number-committors', 'NOM_package']",2,"
unclear role of certain methods.
",0,0,0,0,1,0,0,0,0,1,1,1,0,0
329,spaghetti-code,0.701984158,org.apache.jackrabbit.core.config.RepositoryConfigurationParser,TRUE,"['Readability', 'number-committors', 'NOM_package']",2,"
the methods implemented here are too long and complex.
",0,0,0,1,1,0,0,0,0,1,1,1,0,0
330,spaghetti-code,0.712598598,org.apache.jackrabbit.core.data.db.DbDataStore,TRUE,"['Readability', 'NOM_package', 'number_abstract_methods']",2,"
complex methods. 
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
331,spaghetti-code,1.052223418,org.apache.jackrabbit.core.fs.db.DatabaseFileSystem,TRUE,"['Readability', 'NOM_package', 'number_constructor_DefaultConstructor_methods']",1,"
the class lacks of clarity and there are several complex functions.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
332,spaghetti-code,0.8440616,org.apache.jackrabbit.core.fs.db.DatabaseFileSystem,TRUE,"['Readability', 'LOC', 'NOM_package']",2,"
long methods.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
333,spaghetti-code,1.16770696,org.apache.jackrabbit.core.ItemManager,TRUE,"['Readability', 'number_constructor_DefaultConstructor_methods', 'NOM_package']",1,"
long methods everywhere.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
334,spaghetti-code,0.701385674,org.apache.jackrabbit.core.ItemManager,TRUE,"['Readability', 'NOM_package', 'number_constructor_DefaultConstructor_methods']",2,"
there seem to me that some methods are overly complex.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
335,spaghetti-code,1.418819297,org.apache.jackrabbit.core.journal.DatabaseJournal,FALSE,"['Readability', 'number_constructor_DefaultConstructor_methods', 'WOC_type']",0,"
this is pretty complex to say and the methods are unclearly defined.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
336,spaghetti-code,1.123677662,org.apache.jackrabbit.core.journal.DatabaseJournal,TRUE,"['Readability', 'number_constructor_DefaultConstructor_methods', 'number_private_visibility_attributes']",2,"
it is clear that the class has some design issue.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
337,spaghetti-code,1.146104238,org.apache.jackrabbit.core.lock.LockManagerImpl,FALSE,"['Readability', 'WOC_type', 'NOM_package']",0,"
too many long methods, this is something we are aware of. 
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
338,spaghetti-code,0.846639762,org.apache.jackrabbit.core.lock.LockManagerImpl,TRUE,"['Readability', 'WOC_type', 'NOM_package']",2,"
methods that do not call each other, otehr than being too long.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
339,spaghetti-code,0.743278962,org.apache.jackrabbit.core.NodeImpl,FALSE,"['Readability', 'NOCS_package', 'NOM_package']",1,"
this class looks like a container of methods.
",0,0,1,0,0,0,0,0,0,1,1,0,0,0
340,spaghetti-code,0.79770322,org.apache.jackrabbit.core.nodetype.EffectiveNodeType,TRUE,"['Readability', 'number_private_visibility_attributes', 'number-committors']",2,"
there are methods that should be split.
",0,0,0,1,0,0,0,0,0,1,1,1,0,0
341,spaghetti-code,1.423863663,org.apache.jackrabbit.core.nodetype.NodeTypeRegistry,FALSE,"['LCOM5_type', 'NOM_package', 'Readability']",0,"
long and complex code.
",0,0,0,1,1,0,0,1,0,1,1,0,0,0
342,spaghetti-code,0.996584286,org.apache.jackrabbit.core.nodetype.NodeTypeRegistry,TRUE,"['Readability', 'LCOM5_type', 'NOM_package']",2,"
some of the methods are long.
",0,0,0,1,0,0,0,1,0,1,1,0,0,0
343,spaghetti-code,1.257101824,org.apache.jackrabbit.core.observation.EventState,FALSE,"['Readability', 'NOM_package', 'number_abstract_methods']",0,"
it is too complex due to its size and not established goal.
",0,0,0,1,1,0,0,0,0,1,1,0,0,0
344,spaghetti-code,1.015999561,org.apache.jackrabbit.core.observation.EventState,TRUE,"['Readability', 'number_abstract_methods', 'number_constructor_DefaultConstructor_methods']",2,"
long, complex methods.
",0,0,0,1,1,0,0,0,0,1,1,0,0,0
345,spaghetti-code,1.556814978,org.apache.jackrabbit.core.persistence.bundle.AbstractBundlePersistenceManager,FALSE,"['NOM_package', 'number_abstract_methods', 'number_constructor_DefaultConstructor_methods']",0,"
there are many methods that do not have a clear function.
",0,0,0,0,1,0,0,0,0,1,0,0,0,0
346,spaghetti-code,0.717963559,org.apache.jackrabbit.core.persistence.bundle.AbstractBundlePersistenceManager,TRUE,"['Readability', 'NOM_package', 'TCC_type']",2,"
the methods of this class do not call each other.
",0,0,1,0,0,0,0,1,0,1,1,0,0,0
347,spaghetti-code,1.083756234,org.apache.jackrabbit.core.persistence.db.DatabasePersistenceManager,FALSE,"['Readability', 'NOM_package', 'number_constructor_DefaultConstructor_methods']",0,"
too many methods which are long and complex.
",0,0,0,1,1,0,0,0,0,1,1,0,0,0
348,spaghetti-code,0.831009548,org.apache.jackrabbit.core.persistence.db.DatabasePersistenceManager,TRUE,"['Readability', 'LCOM5_type', 'NOM_package']",2,"
many methods are unnecessarily long.
",0,0,0,1,0,0,0,1,0,1,1,0,0,0
349,spaghetti-code,1.27182501,org.apache.jackrabbit.core.persistence.pool.BundleDbPersistenceManager,FALSE,"['Readability', 'number_abstract_methods', 'NOM_package']",0,"
documentation is lacking, many methods are simply too long to be understood easily.
",0,0,0,1,1,0,0,0,0,1,1,0,0,0
350,spaghetti-code,0.927845676,org.apache.jackrabbit.core.persistence.pool.BundleDbPersistenceManager,TRUE,"['Readability', 'number_abstract_methods', 'NOCS_package']",2,"
complex methods. 
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
351,spaghetti-code,1.568962654,org.apache.jackrabbit.core.persistence.xml.XMLPersistenceManager,FALSE,"['NOM_package', 'number_constructor_DefaultConstructor_methods', 'Readability']",0,"
the persistence is done correctly, but the way it is done is not the best possible. 
",0,0,0,0,0,1,0,0,0,1,1,0,0,0
352,spaghetti-code,0.665414478,org.apache.jackrabbit.core.PropertyImpl,FALSE,"['Readability', 'NOM_package', 'number_abstract_methods']",1,"
it is unclear what is the goal of this class.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
353,spaghetti-code,1.366550977,org.apache.jackrabbit.core.PropertyImpl,TRUE,"['Readability', 'number_abstract_methods', 'NOM_package']",1,"
several long methods reduce the understandability.
",0,0,0,1,1,0,0,0,0,1,1,0,0,0
354,spaghetti-code,0.915779215,org.apache.jackrabbit.core.query.lucene.ConsistencyCheck,TRUE,"['Readability', 'number_constructor_DefaultConstructor_methods', 'number_private_visibility_attributes']",2,"
long methods.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
355,spaghetti-code,1.465835592,org.apache.jackrabbit.core.query.lucene.IndexingConfigurationImpl,FALSE,"['NOM_package', 'number_abstract_methods', 'NOC_type']",0,"
it collects a number of long methods.
",0,0,1,1,0,0,0,0,0,1,0,0,0,0
356,spaghetti-code,1.477794184,org.apache.jackrabbit.core.query.lucene.IndexingConfigurationImpl,FALSE,"['Readability', 'NOM_package', 'number_abstract_methods']",2,"
too complex class.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
357,spaghetti-code,1.080199918,org.apache.jackrabbit.core.query.lucene.LuceneQueryBuilder,TRUE,"['Readability', 'LOC', 'NOM_package']",1,"
long and complex code here.
",0,0,0,1,1,0,0,0,0,1,1,0,0,0
358,spaghetti-code,0.500157659,org.apache.jackrabbit.core.query.lucene.LuceneQueryBuilder,TRUE,"['Readability', 'NOM_package', 'NOCS_package']",2,"
unclear responsability of the class.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
359,spaghetti-code,1.296538806,org.apache.jackrabbit.core.query.lucene.MoreLikeThis,TRUE,"['Readability', 'number_private_visibility_attributes', 'NOCS_package']",1,"
the goal its unclear and the class lacks of documentation for the (long) methods it declares.
",0,0,0,1,1,0,0,0,0,1,1,0,0,0
360,spaghetti-code,0.590132795,org.apache.jackrabbit.core.query.lucene.MoreLikeThis,TRUE,"['Readability', 'number-committors', 'number_abstract_methods']",2,"
long methods.
",0,0,0,1,0,0,0,0,0,1,1,1,0,0
361,spaghetti-code,1.016235938,org.apache.jackrabbit.core.query.lucene.MultiIndex,TRUE,"['Readability', 'WMC', 'NOM_package']",1,"
the many methods of the class reduce its understandability
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
362,spaghetti-code,0.717133944,org.apache.jackrabbit.core.query.lucene.MultiIndex,TRUE,"['Readability', 'NOC_type', 'number_constructor_DefaultConstructor_methods']",2,"
Presence of complex methods.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
363,spaghetti-code,1.168239378,org.apache.jackrabbit.core.query.lucene.NodeIndexer,TRUE,"['Readability', 'number_final_not_static_methods', 'number_constructor_DefaultConstructor_methods']",1,"
This is a class containing many methods that are too long.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
364,spaghetti-code,0.640017521,org.apache.jackrabbit.core.query.lucene.SearchIndex,TRUE,"['Readability', 'MPC', 'NOM_package']",2,"
the class is too complex.
",0,0,0,0,1,0,0,0,1,1,1,0,0,0
365,spaghetti-code,0.763111369,org.apache.jackrabbit.core.RepositoryImpl,FALSE,"['Readability', 'NOC_type', 'NOM_package']",1,"
many methods are long.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
366,spaghetti-code,1.160871459,org.apache.jackrabbit.core.RepositoryImpl,TRUE,"['Readability', 'NOM_package', 'number_abstract_methods']",1,"
it is hard to maintain because every method is long and complex.
",0,0,0,1,1,0,0,0,0,1,1,0,0,0
367,spaghetti-code,0.891732528,org.apache.jackrabbit.core.security.authentication.AbstractLoginModule,TRUE,"['Readability', 'number_final_methods', 'NOC_type']",1,"
it could have been designed better, especially some methods appear to be too complex.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
368,spaghetti-code,0.56343641,org.apache.jackrabbit.core.security.authentication.AbstractLoginModule,TRUE,"['Readability', 'number_constructor_NotDefaultConstructor_methods', 'Avg-commit-size']",2,"
many methods should be simplified.
",0,0,0,0,1,0,0,0,0,1,1,1,0,0
369,spaghetti-code,1.367617232,org.apache.jackrabbit.core.security.authorization.AbstractWriteTest,TRUE,"['Readability', 'number_abstract_methods', 'NOM_package']",1,"
working on this code becomes difficult.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
370,spaghetti-code,0.739783587,org.apache.jackrabbit.core.security.authorization.AbstractWriteTest,TRUE,"['Readability', 'isStatic_type', 'number_abstract_methods']",2,"
long methods.
",0,0,0,1,0,0,0,0,0,1,1,0,1,0
371,spaghetti-code,1.101653319,org.apache.jackrabbit.core.security.authorization.PrivilegeRegistry,TRUE,"['Readability', 'number_package_visibility_methods', 'number_abstract_methods']",1,"
the long methods of the class limit its maintainability.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
372,spaghetti-code,0.600647564,org.apache.jackrabbit.core.security.authorization.PrivilegeRegistry,TRUE,"['Readability', 'NOM_package', 'number-committors']",2,"
the methods are too long.
",0,0,0,1,0,0,0,0,0,1,1,1,0,0
373,spaghetti-code,1.251226798,org.apache.jackrabbit.core.security.user.GroupImpl,TRUE,"['Readability', 'MPC', 'WOC_type']",1,"
the correct functioning of the class is threatened by the many methods without a clear structure.
",0,0,0,0,1,0,0,0,1,0,1,0,0,0
374,spaghetti-code,0.694744967,org.apache.jackrabbit.core.security.user.GroupImpl,TRUE,"['Readability', 'NOM_package', 'number_protected_visibility_methods']",2,"
complex code, some methods should be divided.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
375,spaghetti-code,0.613541176,org.apache.jackrabbit.core.security.user.UserImporterTest,TRUE,"['Readability', 'NOM_package', 'number_abstract_methods']",2,"
it is hard to understand because the methods are long and complex.
",0,0,0,1,1,0,0,0,0,1,1,0,0,0
376,spaghetti-code,1.27431648,org.apache.jackrabbit.core.security.user.UserManagerImpl,TRUE,"['Readability', 'number_abstract_methods', 'isStatic_type']",1,"
too many long methods.
",0,0,0,1,0,0,0,0,0,1,1,0,1,0
377,spaghetti-code,0.705923303,org.apache.jackrabbit.core.security.user.UserManagerImpl,TRUE,"['Readability', 'number_abstract_methods', 'number_final_not_static_methods']",2,"
long methods.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
378,spaghetti-code,1.234900693,org.apache.jackrabbit.core.security.user.UserManagerImplTest,TRUE,"['Readability', 'number_final_not_static_methods', 'is_controller']",1,"
the class uses a kind of functional approach for delivering things.
",0,0,1,0,0,0,0,0,0,1,1,0,1,0
379,spaghetti-code,1.129240446,org.apache.jackrabbit.core.SessionImpl,TRUE,"['Readability', 'number_private_visibility_attributes', 'NOM_package']",1,"
long methods hide their functionalities.
",0,0,0,1,1,0,0,0,0,1,1,0,0,0
380,spaghetti-code,1.262603192,org.apache.jackrabbit.core.state.NodeState,TRUE,"['Readability', 'number_private_visibility_attributes', 'NOM_package']",1,"
long code.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
381,spaghetti-code,0.79028917,org.apache.jackrabbit.core.state.NodeState,TRUE,"['Readability', 'NOC_type', 'number-committors']",2,"
the class has long methods.
",0,0,0,1,0,0,0,0,0,1,1,1,0,0
382,spaghetti-code,0.484869326,org.apache.jackrabbit.core.state.NodeStateMergerTest,TRUE,"['Readability', 'number_constructor_DefaultConstructor_methods', 'TCC_type']",2,"
I see several long methods.
",0,0,0,1,0,0,0,1,0,1,1,0,0,0
383,spaghetti-code,0.961693334,org.apache.jackrabbit.core.state.SessionItemStateManager,TRUE,"['Readability', 'NOM_package', 'MPC']",1,"
too complex methods are included in the class.
",0,0,0,0,1,0,0,0,1,1,1,0,0,0
384,spaghetti-code,0.626583725,org.apache.jackrabbit.core.state.SessionItemStateManager,TRUE,"['Readability', 'NOM_package', 'MPC']",2,"
too complex methods.
",0,0,0,0,1,0,0,0,1,1,1,0,0,0
385,spaghetti-code,1.221681188,org.apache.jackrabbit.core.state.SharedItemStateManager,TRUE,"['Readability', 'NOM_package', 'is_controller']",1,"
the code is actually hard to understand if you don't touch it regularly.
",0,0,0,0,1,0,0,0,0,1,1,0,1,0
386,spaghetti-code,1.030417706,org.apache.jackrabbit.core.value.InternalValue,TRUE,"['Readability', 'NOM_package', 'number_abstract_methods']",1,"
long methods.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
387,spaghetti-code,1.028529698,org.apache.jackrabbit.core.version.NodeStateEx,TRUE,"['Readability', 'NOM_package', 'number_abstract_methods']",1,"
the top issue with this class is related to the presence of many long methods.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
388,spaghetti-code,0.564143062,org.apache.jackrabbit.core.version.NodeStateEx,TRUE,"['Readability', 'NOM_package', 'number-committors']",2,"
long methods.
",0,0,0,1,0,0,0,0,0,1,1,1,0,0
389,spaghetti-code,1.247274926,org.apache.jackrabbit.core.WorkspaceImpl,TRUE,"['Readability', 'NOM_package', 'number_abstract_methods']",1,"
long methods are present in the class.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
390,spaghetti-code,0.64588631,org.apache.jackrabbit.core.XATest,FALSE,"['Readability', 'NOCS_package', 'number_abstract_methods']",1,"
there are too many complex methods.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
391,spaghetti-code,1.15658624,org.apache.jackrabbit.core.XATest,TRUE,"['Readability', 'NOM_package', 'number_abstract_methods']",1,"
limited understandability.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
392,spaghetti-code,1.36732921,org.apache.jackrabbit.j2ee.RepositoryStartupServlet,TRUE,"['Readability', 'number_constructor_DefaultConstructor_methods', 'number_protected_visibility_methods']",1,"
long methods.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
393,spaghetti-code,1.54946637,org.apache.jackrabbit.j2ee.RepositoryStartupServlet,FALSE,"['Readability', 'number_constructor_DefaultConstructor_methods', 'NOM_package']",0,"
parameters are poorly used and the methods look long.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
394,spaghetti-code,1.0657921,org.apache.jackrabbit.jcr2spi.hierarchy.ChildNodeEntriesImpl,TRUE,"['Readability', 'CFNAMM_type', 'NOM_package']",1,"
long and complex methods threaten its understandability.
",0,0,0,1,1,0,0,0,1,1,1,0,0,0
395,spaghetti-code,0.450762722,org.apache.jackrabbit.jcr2spi.hierarchy.ChildNodeEntriesImpl,TRUE,"['Readability', 'number-committors', 'number_constructor_DefaultConstructor_methods']",2,"
too many long methods.
",0,0,0,1,0,0,0,0,0,1,1,1,0,0
396,spaghetti-code,0.521116555,org.apache.jackrabbit.jcr2spi.hierarchy.NodeEntryImpl,TRUE,"['Readability', 'NOM_package', 'TCC_type']",2,"
the class contains a number of complex functions.
",0,0,0,0,1,0,0,1,0,1,1,0,0,0
397,spaghetti-code,1.478960133,org.apache.jackrabbit.jcr2spi.lock.LockManagerImpl,FALSE,"['NOM_package', 'number_abstract_methods', 'number_constructor_DefaultConstructor_methods']",0,"
the class has a lot of long methods.
",0,0,0,1,0,0,0,0,0,1,0,0,0,0
398,spaghetti-code,1.488853735,org.apache.jackrabbit.jcr2spi.lock.LockManagerImpl,FALSE,"['Readability', 'NOM_package', 'number_abstract_methods']",2,"
high complexity and LOC.
",0,0,0,1,1,0,0,0,0,1,1,0,0,0
399,spaghetti-code,0.882074628,org.apache.jackrabbit.jcr2spi.NodeImpl,TRUE,"['Readability', 'number_abstract_methods', 'NOC_type']",1,"
methods should be split and clarity improved.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
400,spaghetti-code,1.49625802,org.apache.jackrabbit.jcr2spi.nodetype.NodeTypeRegistryImpl,FALSE,"['Readability', 'NOM_package', 'NOC_type']",2,"
the class has several long methods.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
401,spaghetti-code,1.038932005,org.apache.jackrabbit.jcr2spi.SessionImpl,TRUE,"['Readability', 'NOM_package', 'number_constructor_DefaultConstructor_methods']",1,"
many long and complex methods.
",0,0,0,1,1,0,0,0,0,1,1,0,0,0
402,spaghetti-code,0.582774892,org.apache.jackrabbit.jcr2spi.SessionImpl,TRUE,"['Readability', 'MPC', 'NOM_package']",2,"
there are several methods of huge size.
",0,0,0,1,0,0,0,0,1,1,1,0,0,0
403,spaghetti-code,1.380420581,org.apache.jackrabbit.jcr2spi.WorkspaceManager,TRUE,"['Readability', 'number_constructor_DefaultConstructor_methods', 'number_private_visibility_attributes']",1,"
the class is at the high risk to become a mess due to the long methods it contains.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
404,spaghetti-code,0.641236321,org.apache.jackrabbit.jcr2spi.WorkspaceManager,TRUE,"['Readability', 'number_constructor_DefaultConstructor_methods', 'NOM_package']",2,"
the class is complex.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
